prompt_id,question_id,answer_category,n_trials,verdict_k,p_positive,p_negative,p_uncertain,majority_verdict,semantic_entropy,h_norm,active_clusters,flip_rate,spacy_label,evidence_present,question_length,context_length,swap_type,swap_source_qid,swap_source_tag
P-Lee-Standard,bb_3546,confusing_wrong,3,3,0.0,0.3333333333333333,0.6666666666666666,UNCERTAIN,0.6365141682948128,0.5793801642856949,2,0.3333333333333333,MONEY,False,33,2000,same_type,odql_11051,MONEY
P-Lee-Standard,bb_3546,correct,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,MONEY,False,33,2000,same_type,odql_11051,MONEY
P-Lee-Standard,bb_3546,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,MONEY,False,33,2000,same_type,odql_11051,MONEY
P-Lee-Standard,bb_5774,confusing_wrong,3,3,0.0,0.3333333333333333,0.6666666666666666,UNCERTAIN,0.6365141682948128,0.5793801642856949,2,0.3333333333333333,FAC,False,12,2000,same_type,bb_965,FAC
P-Lee-Standard,bb_5774,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,12,2000,same_type,bb_965,FAC
P-Lee-Standard,bb_5774,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,FAC,False,12,2000,same_type,bb_965,FAC
P-Lee-Standard,bb_6022,confusing_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,ORDINAL,False,8,2000,same_type,dpql_4600,ORDINAL
P-Lee-Standard,bb_6022,correct,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,ORDINAL,False,8,2000,same_type,dpql_4600,ORDINAL
P-Lee-Standard,bb_6022,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,ORDINAL,False,8,2000,same_type,dpql_4600,ORDINAL
P-Lee-Standard,bb_614,confusing_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,PRODUCT,False,12,435,same_type,qb_2184,PRODUCT
P-Lee-Standard,bb_614,correct,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,PRODUCT,False,12,435,same_type,qb_2184,PRODUCT
P-Lee-Standard,bb_614,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,PRODUCT,False,12,435,same_type,qb_2184,PRODUCT
P-Lee-Standard,bb_8330,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,DATE,False,11,2000,same_type,jp_487,DATE
P-Lee-Standard,bb_8330,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,DATE,False,11,2000,same_type,jp_487,DATE
P-Lee-Standard,bb_8330,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,DATE,False,11,2000,same_type,jp_487,DATE
P-Lee-Standard,bb_914,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,GPE,False,21,2000,same_type,sfq_17940,GPE
P-Lee-Standard,bb_914,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,GPE,False,21,2000,same_type,sfq_17940,GPE
P-Lee-Standard,bb_914,obvious_wrong,3,3,0.0,0.0,1.0,UNCERTAIN,-0.0,0.0,1,0.0,GPE,False,21,2000,same_type,sfq_17940,GPE
P-Lee-Standard,bb_965,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,16,2000,same_type,bb_5774,FAC
P-Lee-Standard,bb_965,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,16,2000,same_type,bb_5774,FAC
P-Lee-Standard,bb_965,obvious_wrong,3,3,0.0,0.3333333333333333,0.6666666666666666,UNCERTAIN,0.6365141682948128,0.5793801642856949,2,0.3333333333333333,FAC,False,16,2000,same_type,bb_5774,FAC
P-Lee-Standard,bt_2321,confusing_wrong,3,3,0.3333333333333333,0.6666666666666666,0.0,NEGATIVE,0.6365141682948128,0.5793801642856949,2,0.3333333333333333,EVENT,False,12,1923,same_type,dpql_4253,EVENT
